,num,ssim_score,ssim_array
0,16,0.9614551355074271,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
0,17,0.9999756453964698,"[[0.99999994 0.99999994 1.         ... 0.9999966  0.9999973  0.9999974 ]
 [0.99999994 0.99999994 1.         ... 0.9999966  0.9999973  0.9999974 ]
 [0.99999994 0.99999994 1.         ... 0.99999666 0.9999973  0.9999974 ]
 ...
 [0.99999416 0.999984   0.99998057 ... 0.99952835 0.999546   0.9995555 ]
 [0.99999416 0.9999839  0.99998045 ... 0.99950564 0.99952364 0.99953365]
 [0.99999416 0.9999839  0.99998045 ... 0.9994947  0.9995129  0.9995228 ]]"
0,18,0.9192513384392026,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
0,19,0.9981178733230569,"[[1.         1.         1.         ... 0.99999946 0.99999946 0.9999995 ]
 [1.         1.         1.         ... 0.99999946 0.99999946 0.9999995 ]
 [1.         1.         1.         ... 0.99999946 0.9999995  0.9999995 ]
 ...
 [1.         0.9999996  0.9999995  ... 0.9999595  0.9999586  0.99995846]
 [1.         0.9999996  0.9999995  ... 0.99995846 0.99995744 0.9999574 ]
 [1.         0.9999996  0.9999995  ... 0.9999584  0.99995744 0.99995726]]"
0,20,0.9830441150265956,"[[1.         1.         1.         ... 1.         1.         1.        ]
 [1.         1.         1.         ... 1.         1.         1.        ]
 [1.         1.         1.         ... 1.         1.         1.        ]
 ...
 [0.9999993  0.9999978  0.99999774 ... 0.9999993  0.9999993  0.9999993 ]
 [0.9999993  0.9999978  0.9999976  ... 0.9999993  0.9999993  0.9999993 ]
 [0.9999993  0.9999978  0.9999976  ... 0.9999993  0.9999993  0.9999993 ]]"
0,21,0.9442740697462803,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
0,22,0.9884206261648776,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
0,23,0.9867409347959347,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
0,24,0.900088397413002,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
0,25,0.9973659856878306,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
