Voltage,Current,Power
-0.35668790598523525,8.229429810466423,-2.93533808654774
-0.3566338641034614,8.229430186192081,-2.9348934866713496
-0.3565796744901693,8.229430578025678,-2.934447676751842
-0.35652576424224014,8.2294309165557,-2.9340041468037397
-0.3564716483978884,8.229431201405033,-2.9335589057418674
-0.35641750580995174,8.229431499784626,-2.9331134493870867
-0.3563631911989164,8.229431844846497,-2.9326665939834835
-0.3563092745198344,8.22943216893087,-2.9322230058219456
-0.35625526771974386,8.22943247215652,-2.9317786685496743
-0.3562014028956701,8.229432719003773,-2.9313354795446727
-0.3561475015318858,8.229433011790704,-2.930892006173281
-0.35609345295598166,8.229433315964993,-2.9304473253529686
-0.35603954061645965,8.229433494422722,-2.930003720887972
-0.35598547573066863,8.22943364983783,-2.9295588528314926
-0.3559315258333539,8.229433816164496,-2.92911493493203
-0.3558772604960818,8.229433957718138,-2.9286684123061595
-0.3558231258755171,8.229434007042206,-2.9282229325720404
-0.35576899152694197,8.229434065997209,-2.9277774584972884
-0.3557147115964085,8.229434168589476,-2.927330801881435
-0.35566049788299364,8.22943434949554,-2.9268847180369937
-0.35560622480112053,8.229434471433152,-2.9264381246345477
-0.3555518346226234,8.229434568292247,-2.925990558663145
-0.35549795157304187,8.229434570875197,-2.9255471325505074
-0.35544349549800347,8.229434614957514,-2.925099005512765
-0.3553893951039561,8.229434666966887,-2.924653808340888
-0.35533491612830764,8.22943459090674,-2.92420545014324
-0.35528045023841437,8.229434488995649,-2.9237571904579096
-0.3552260483880743,8.229434291421732,-2.9233094238110544
-0.3551714409467695,8.229434134224094,-2.9228599796289023
-0.35511655173679574,8.229433915211473,-2.9224081947157368
-0.3550619161646293,8.229433668004525,-2.9219584871114
-0.3550071000684158,8.229433426884984,-2.9215072960845236
-0.35495244226930867,8.229433123941975,-2.9210573858351503
-0.35489758023701645,8.229432827539846,-2.9206057972169597
-0.3548427955066051,8.229432332246521,-2.9201547742067966
-0.354788030241094,8.229431942725911,-2.919703948962866
-0.35473320818594134,8.2294314551944,-2.9192526216474093
-0.3546782735725548,8.229431006148424,-2.918800381745176
-0.35462295494061263,8.229430494327524,-2.918344959376813
-0.35456764431689064,8.229429988235914,-2.9178896049995853
-0.35451228617771985,8.229429453254102,-2.917433849411375
-0.3544569832584729,8.229428786520083,-2.916978501610344
-0.35440142783633083,8.229428193279999,-2.916521101974988
-0.3543456866779932,8.229427638819017,-2.916062187644181
-0.3542899522594456,8.229426918845299,-2.915603270200297
-0.35423434826915584,8.229426339345485,-2.9151454759470727
-0.3541785653049437,8.22942573126591,-2.914686198783347
-0.35412254480559185,8.229424856951983,-2.91422487263023
-0.3540663362885296,8.229424056305541,-2.913762025380793
-0.3540098791376039,8.229423294613069,-2.9132971458981545
-0.3539533854422044,8.229422504082573,-2.9128319555542896
-0.35389688787424073,8.229421718756008,-2.9123667352724363
-0.35384009585177356,8.229420905246199,-2.9118990819169044
-0.3537831677514496,8.229420027929686,-2.911430286238187
-0.3537261510252086,8.229419155467168,-2.910960763036524
-0.35366920232864457,8.2294182201883,-2.91049177756281
-0.3536121918931352,8.229417323684386,-2.910022297831374
-0.35355493843318203,8.22941619362095,-2.909550735676686
-0.3534972935816805,8.229415102968689,-2.909075966659638
-0.353439698645896,8.229414018044393,-2.9086016105699226
-0.353381770196886,8.229412905863082,-2.9081245003549956
-0.3533237192966007,8.229411765654271,-2.907646372664173
-0.35326507618126995,8.229410563026782,-2.907163349474604
-0.3532064099056029,8.229409366653696,-2.9066801380392935
-0.35314755384770463,8.229408041357702,-2.9061953194201027
-0.35308877015036605,8.229406791427655,-2.9057111230522605
-0.3530296594152695,8.229405377021141,-2.905224177439961
-0.35297025180425495,8.229404036799501,-2.904734815068072
-0.3529109180721788,8.229402737875025,-2.904246075409177
-0.3528514554361916,8.229401513090387,-2.9037563012627405
-0.3527917131374716,8.229400124518202,-2.9032641680224986
-0.35273172235591727,8.22939877722276,-2.9027700046434637
-0.352671065917735,8.22939733514628,-2.902270330046606
-0.35261038539063705,8.229395833249638,-2.9017704362942576
-0.35254929767882065,8.229394270194101,-2.901267170279041
-0.3524879565924526,8.229392680132245,-2.9007618098167014
-0.35242642955168785,8.229391200660647,-2.9002549582329094
-0.3523643705524921,8.229389662778438,-2.8997437085561093
-0.3523022938676886,8.229388067507784,-2.8992322933103774
-0.3522401042173267,8.229386517261853,-2.8987199644849784
-0.3521777026819756,8.229384807879944,-2.89820583612511
-0.35211492203406075,8.229383109668094,-2.8976885920491973
-0.3520517190595999,8.22938142300044,-2.8971678767644415
-0.35198842971978134,8.229379611573693,-2.8966464070458082
-0.3519247081375166,8.229377880238916,-2.8961214086564153
-0.35186040286994125,8.229376126289084,-2.8955915991643537
-0.35179592140026367,8.229374349478789,-2.895060331822586
-0.3517309353147788,8.22937258602281,-2.894524916735603
-0.3516659056536163,8.229370700822646,-2.8939891004641307
-0.3516004862070507,8.229368931911187,-2.893450117637171
-0.35153463375109,8.229367040961263,-2.892907528747609
-0.35146848426109417,8.229365164655304,-2.8923625008524496
-0.3514019761259015,8.229363270299828,-2.891814515441271
-0.35133567791265197,8.229361325425497,-2.8912682400565273
-0.35126861552807354,8.229359432573201,-2.890715694562881
-0.3512011030038067,8.22935755923062,-2.890159451814508
-0.3511331154243933,8.229355603874135,-2.8895992711235143
-0.3510647353961078,8.229353703687917,-2.889035880466178
-0.3509962825638147,8.229351791994972,-2.8884718869001023
-0.3509270519325489,8.229349731582582,-2.8879014406261883
-0.350857395478674,8.22934786337436,-2.8873275578315187
