,ELPath,Module,Deg,Rs,Rsh,I,Is,N,lat_vec,klabel
0,/docs/data/EL/209_A3/Init/209_A3_0005_2021_04_22_15_49_43_Init_30s_100_500_500.png,209_A3,Init,0.0086247619840187,525.0,8.242323281747764,6.545685774645088e-08,1.2926498775949504,"[-3.3250138e-01  9.8931187e-01 -6.1522657e-01 -1.2483689e-01
 -7.1438509e-01 -2.3259127e+00  1.8682652e+00  1.0771840e+00
 -4.7095257e-01  1.2606310e+00  3.1315572e+00  1.0542499e+00
  8.2060218e-02  4.5005992e-01 -8.2509619e-01 -2.3361504e-02
  3.8866991e-01 -4.5436910e-01  1.5290320e-01 -2.1876878e-01
 -1.1129975e+00  1.7505714e-01 -1.7098320e-01  1.9774746e+00
 -5.7611689e-02  2.6664624e+00 -1.4387167e+00  1.0954231e+00
 -6.2626499e-01  5.7401136e-04 -1.3220562e+00 -1.1828562e+00
  1.5179405e-01 -1.5621648e+00  2.5961337e+00  1.3213092e-01
  1.8997366e+00  1.6962949e+00  9.3466729e-01 -8.9179999e-01
  2.2158499e+00  1.5558335e+00 -2.2160766e-01  1.7264435e-01
 -1.0399760e+00  2.1008165e+00 -2.0188799e+00 -2.5678012e+00
  1.0887121e-01  5.6863004e-01]",0
1,/docs/data/EL/209_C1/Init/209_C1_0005_2021_04_22_15_49_43_Init_30s_100_500_500.png,209_C1,Init,0.0099574990380438,1543.5,8.201203110047347,3.4888337789123984e-08,1.267408490342328,"[-0.15656391  0.6889924   1.4591371  -1.9122308  -2.2816577  -0.371091
  0.8214882  -1.7610253   1.0030432   0.1138175   0.4543462   2.6080098
  0.11750396 -0.85891247 -0.00672386  1.1008302   1.2246169  -1.3461213
 -0.05159435 -1.7972002   2.4542503  -0.2661121  -1.4559808  -0.38689533
 -0.2679545   0.21813136 -0.26215118  0.5520551   1.4136754  -0.12163465
 -0.685904    1.52456    -1.8961613   1.1235745   1.4986082  -0.23971981
 -1.0030665   1.357837    2.2339218  -0.77763236  0.8431223   2.6333702
 -0.23649274 -0.41037637  1.7567481   0.7677762  -0.19629532  0.4902096
  1.7763387   0.47651908]",1
2,/docs/data/EL/209_A2/Init/209_A2_0005_2021_04_22_15_49_43_Init_30s_100_500_500.png,209_A2,Init,0.0089883207034642,1380.5,8.223688538091881,6.476966475985109e-08,1.2939786268104827,"[ 0.31856775  1.6780007  -0.44112492  0.14683    -0.718881   -1.1363271
  0.1078347  -1.590488    1.186326    2.4138281   0.738649   -0.19792935
 -0.8738105   1.5091555  -0.234567   -1.1061445  -0.39226148  0.09258714
  1.290491    1.6740493  -0.24063861  0.32811642  1.6688209   2.1302984
 -1.2531339  -0.09712373  0.46546173  0.91799086  0.4033329   0.40282768
 -0.79361045 -0.869518   -1.2188321  -1.1232582   0.69845027  0.8334081
  0.73150593  1.4819303   0.28763986 -1.9238596   3.9199066   0.36590376
 -0.37610173  0.2096897  -1.727083   -0.58022994 -1.2711874  -1.302993
 -0.42406508 -0.27552313]",2
3,/docs/data/EL/209_A1/Init/209_A1_0005_2021_04_22_15_49_43_Init_30s_100_500_500.png,209_A1,Init,0.0093770637314645,1789.5,8.185085962169973,3.60706966805148e-08,1.2541165468270077,"[-0.68114537  1.6457926  -0.61010593 -0.87041855 -1.1768334  -1.8964657
  0.29527128 -0.52794445  0.6671892   2.2853816   2.7281427   0.37750584
 -0.24027647  0.394635    0.9947677  -1.3676094  -0.5817973  -0.19530912
  1.0195434   2.0366604  -0.41582477  0.43844432  1.3604774   2.3276005
 -1.9224644   0.9623388   0.04653297  0.8504944   0.53921413 -0.22966328
 -1.4181036  -1.1712799  -1.077445   -1.0935589   1.1407784   1.8478729
  0.45002288  1.1226975   0.08267324 -1.6884115   3.5449033   1.8177452
 -0.24772976 -0.5474963  -1.2058154  -0.44317955 -1.1229371  -1.6099591
 -0.7425382  -0.08746731]",2
4,/docs/data/EL/209_C2/Init/209_C2_0005_2021_04_22_15_49_43_Init_30s_100_500_500.png,209_C2,Init,0.0097525949955693,1723.0,8.122329878406727,2.2612301898831213e-08,1.2247172264077413,"[-0.41167215  1.1730539  -1.334518   -1.4193864  -0.9317583  -1.5316454
  0.53871197 -2.0001936  -0.17933373  2.1330674   2.678661   -0.78814256
 -0.8328689   0.9580453   0.24434057 -1.2253878  -0.8611068   0.25678813
  1.1451383   2.0250263  -1.1403935   0.23302358  1.0379498   1.7064959
 -1.5528692   0.44794694 -0.24917722  1.3911159  -0.09176643  0.54786956
 -1.607777   -0.66577643 -0.79935265 -1.8076398   2.4466617   1.0318016
  0.2992847   2.2222404  -0.04818199 -1.1291665   3.4515564   1.0794129
 -0.48389554 -0.07334092 -0.9796376  -1.1555108  -1.741861   -1.8501365
 -0.0400722   0.02189189]",2
5,/docs/data/EL/209_C3/Init/209_C3_0005_2021_04_22_15_49_43_Init_30s_100_500_500.png,209_C3,Init,0.0095897536789873,427.0,8.146019881115302,9.292773477530233e-08,1.3178969470023454,"[-0.78635216  1.5814315   1.6481582  -0.9483758  -1.1994221   0.8097484
  0.827137   -2.201251   -0.16057685  1.0584822   0.13755012  1.5297085
  0.4067357   1.0113549   1.0051823   0.9741719   0.12822406 -0.2359474
  0.31813347 -1.2167853   0.05135381 -0.26208958 -0.41503608 -1.2342494
  0.22135767  0.66116154 -1.7560726   0.7298602   0.43136853 -1.4459944
  0.80294716  2.250894   -0.74587524  1.4810498   1.1773776  -0.6373273
  1.1470554   1.2341521   0.40505007  0.4646608   0.49315307  2.924853
 -0.14066757 -0.94332105  0.47311884 -1.7511556   0.40353677  0.10564822
  0.4807759   0.95187587]",1
6,/docs/data/EL/209_B1/Init/209_B1_0005_2021_04_22_15_49_43_Init_30s_100_500_500.png,209_B1,Init,0.0094933706997757,1243.0,8.228325420761792,2.17766845551048e-08,1.222512565224131,"[ 1.3313957   1.4688822   0.33593652 -0.5598694  -0.87222296 -1.1465099
  0.88164544  0.5103917  -0.50340986  0.31433177  3.479813    1.0901532
  1.0627599  -0.47067887 -0.6736896   0.77181077  0.88038516 -0.44952068
 -0.08541369 -0.22222245  0.2922538  -0.33634326  0.49270177  0.76068693
 -1.1590949  -1.5374649   0.16200759 -0.03208105 -0.63819754 -0.16307086
  0.17390154  0.0479247   0.42971364  0.629504    3.6172779   0.5750015
  0.5126037   1.3980695   0.36482662 -1.1381336   1.0694568   1.4909719
 -0.23441207  1.1486813  -0.5021472   2.0942278  -0.7157769  -0.33817932
 -0.47720614  1.0784457 ]",4
7,/docs/data/EL/209_B2/Init/209_B2_0005_2021_04_22_15_49_43_Init_30s_100_500_500.png,209_B2,Init,0.0094400519671981,539.0,8.199214271436658,8.569937573544746e-08,1.3136623036030526,"[ 0.3311233   2.101786   -1.9322172  -1.2864361  -1.0953857  -1.994251
  1.047574   -1.7863723  -0.16220284  1.8447485   2.2670577  -0.4764771
  0.16968584  2.264409    0.24589711 -2.1884289  -0.5490626   0.40138865
  1.1857493   1.1022803  -1.0173346  -0.02626517  0.9926705   2.4365668
 -1.9473195   1.3383229  -0.09772459  1.2150617   0.18616837 -0.22588158
 -1.9095802  -0.20018992 -1.136446   -0.8182235   2.4611435  -0.3486403
  1.2280542   1.7833905   0.22057433 -1.1859574   3.4096284   1.0313363
 -0.11508176  0.39598304 -2.0938492   0.3035656  -1.9686944  -2.3874283
 -0.19997749  0.0997263 ]",2
8,/docs/data/EL/209_B3/Init/209_B3_0005_2021_04_22_15_49_43_Init_30s_100_500_500.png,209_B3,Init,0.0100157843210057,1930.5,8.273032795898379,1.9664570958383183e-08,1.221288102425814,"[-0.01631616  0.9955636   0.03534175 -0.5719278  -0.82098305 -0.14161682
  0.25241107 -1.4082613  -0.7000706   1.2454641   2.3855596   0.86376125
  1.1517377  -0.01896141 -1.144664    0.5663998   0.43332022 -0.6248591
  0.20969093 -1.9570049  -0.45836034  1.014461    0.16153684  1.1731583
 -0.9947647   0.84448904 -0.7662573  -0.76971155  0.38971657 -0.9723067
 -0.360531   -0.08595416  0.65856016 -0.45458668  2.8675985  -0.37151033
  0.7524121   1.588386   -0.02733895 -0.57889473  1.6087765   0.7896218
 -0.7236214   1.1219587  -1.8436085   0.7217891  -2.3131475  -1.0627263
  0.31477022  0.7438309 ]",0
9,/docs/data/EL/209_A3/Deg1/209_A3_0005_2021_04_26_17_20_38_Deg1_30s_100_500_500.png,209_A3,Deg1,0.0096174542783636,371.0,8.207783765686083,7.514118335466463e-08,1.305806322137316,"[-0.35740757  2.0590327   0.7615145  -0.39684445  0.01712349 -1.9780682
 -0.25035042 -1.2879225   1.1755702   1.9240779   2.3539834   0.7839369
  0.37423006 -0.40120304 -0.5569173   0.04824618  1.2777117  -2.6371095
 -0.06100523 -0.81906575 -0.01035894 -0.3611506   1.4334009   1.3440257
  0.0045218  -0.6130241   1.4217895  -0.3385398   0.17716813 -0.44666392
  0.16534501  0.6569651   0.51923716  0.03355767  2.479668   -0.28815013
  0.08729947 -0.86157626  1.3295767   0.49173898  1.0984346   2.503334
 -0.3209381  -0.16040418 -0.37088388  0.19412397 -0.86107224 -1.7876276
  1.6270016   0.64108956]",1
